Date, Close/Last, Volume, Open, High, Low
2018-04-10,54.13,5890611,55.5,55.58,53.6
2018-04-09,54.85,5830889,55.63,55.82,54.75
2018-04-06,55.29,5235225,56.43,56.665,54.85
2018-04-05,56.86,3689181,56.76,57.18,56.27
2018-04-04,56.36,3641752,55.06,56.49,54.85
2018-04-03,55.97,4294034,54.94,56.04,54.46
2018-04-02,54.34,5336776,57.19,57.19,53.79
2018-03-29,57.28,3001818,56.39,57.59,56.31
2018-03-28,56.25,4702504,56.71,56.92,55.87
2018-03-27,56.69,4421725,57.84,57.95,56.28
2018-03-26,57.59,5502410,57.5,57.86,56.9
2018-03-23,56.72,6879737,56.85,57.97,56.35
2018-03-22,57.0,7051943,57.51,58.27,56.98
2018-03-21,57.78,13627920,58.05,58.4,56.66
2018-03-20,60.69,2797102,60.73,60.99,60.5
2018-03-19,60.6,4431700,60.67,61.24,60.18
2018-03-16,60.9,5399871,60.27,61.375,60.2
2018-03-15,59.94,3831556,59.69,60.27,59.21
2018-03-14,59.62,4681821,60.37,60.83,59.3255
2018-03-13,60.33,5148810,60.05,60.76,59.78
2018-03-12,59.76,4605531,59.88,59.92,59.4
2018-03-09,59.7,4200289,58.91,59.7,58.67
2018-03-08,58.37,6105363,57.74,58.9,57.71
2018-03-07,57.57,3979974,57.67,58.05,57.48
2018-03-06,58.25,2929309,58.47,58.64,57.93
2018-03-05,58.38,5096701,57.68,58.72,57.19
2018-03-02,57.81,3806154,57.49,58.13,57.03
2018-03-01,58.01,5400844,57.78,58.76,57.49
2018-02-28,57.84,4824346,58.66,58.83,57.83
2018-02-27,58.48,3602526,59.6,59.72,58.4661
2018-02-26,59.5,4912452,58.75,59.84,58.65
2018-02-23,57.99,3309965,57.8,58.03,57.47
2018-02-22,57.32,4036802,58.41,58.69,57.2
2018-02-21,58.03,3448102,57.82,59.29,57.66
2018-02-20,57.73,3563113,58.08,58.49,57.5
2018-02-16,58.27,3838663,58.41,58.88,58.205
2018-02-15,58.18,3283464,58.21,58.46,57.47
2018-02-14,57.73,4278828,56.94,58.38,56.85
2018-02-13,57.16,3943299,56.55,57.245,56.155
2018-02-12,56.81,4423535,56.14,57.28,55.71
2018-02-09,55.5,6653175,56.55,56.79,54.011
2018-02-08,55.63,8788254,57.88,57.9299,55.6
2018-02-07,57.89,4466623,58.05,59.04,57.89
2018-02-06,58.14,6893453,55.84,58.43,55.55
2018-02-05,56.99,7910990,58.02,58.74,56.11
2018-02-02,58.71,4168180,59.95,60.26,58.66
2018-02-01,60.31,4257763,60.51,61.12,60.05
2018-01-31,60.8,5590052,60.11,61.481,60.11
2018-01-30,59.83,4347103,59.62,60.4699,59.62
2018-01-29,60.36,6154025,60.54,60.7,60.08
2018-01-26,60.82,6043079,60.87,61.57,60.26
2018-01-25,60.19,11176490,63.02,63.03,59.25
2018-01-24,62.21,10438560,62.63,63.57,61.83
2018-01-23,65.26,4494351,64.73,65.5,64.21
2018-01-22,64.89,4216133,64.86,65.045,64.4
2018-01-19,65.05,5110269,65.4,65.4,64.11
2018-01-18,65.06,4199307,66.08,66.28,64.76
2018-01-17,66.07,4920359,65.84,66.52,65.45
2018-01-16,65.47,4511871,65.51,66.11,65.01
2018-01-12,65.36,3809141,65.21,65.95,64.95
2018-01-11,64.84,5352373,63.63,65.55,63.31
2018-01-10,62.96,7156583,62.52,63.41,62.28
2018-01-09,62.38,7748478,63.28,63.71,62.25
2018-01-08,64.0,4552785,64.19,64.36,63.455
2018-01-05,64.32,3122340,64.9,64.94,63.88
2018-01-04,64.7,4159647,65.0,65.03,64.14
2018-01-03,64.91,5006364,66.12,66.19,64.6
2018-01-02,66.29,3790756,65.91,66.37,65.51
2017-12-29,65.45,1976009,66.0,66.075,65.44
2017-12-28,65.87,2164922,66.0,66.02,65.51
2017-12-27,65.96,3639896,65.94,66.0,65.56
2017-12-26,65.98,2041482,65.76,66.3302,65.76
2017-12-22,65.97,2243752,66.3,66.32,65.56
2017-12-21,66.03,3419359,66.5,66.985,65.98
2017-12-20,66.09,5166887,66.4,66.47,65.44
2017-12-19,65.92,3966835,66.0,66.23,65.37
2017-12-18,65.7,4475616,65.1,65.75,64.75
2017-12-15,64.7,6470754,64.23,64.92,63.81
2017-12-14,63.85,5062050,63.86,64.7,63.69
2017-12-13,63.14,4194117,63.7,63.72,63.02
2017-12-12,63.43,3217868,63.46,63.945,63.28
2017-12-11,63.32,4371254,63.48,63.73,62.92
2017-12-08,63.33,4377184,63.41,63.955,63.15
2017-12-07,63.02,5773637,60.9,63.08,60.66
2017-12-06,61.12,2886666,61.68,61.87,61.0
2017-12-05,61.72,4508495,62.2,62.3,61.22
2017-12-04,62.03,9064246,61.66,62.89,60.84
2017-12-01,59.92,6185409,60.51,61.64,59.51
2017-11-30,60.67,13289090,58.91,61.51,58.9
2017-11-29,58.88,9702311,56.55,59.65,56.51
2017-11-28,56.17,6616215,54.66,56.22,54.51
